Vehicle_ID,EV_Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Manufacturing_Year,Customer_ID
V00062,TVS,iQube,Scooter,3.4,2025,CU00062
V00063,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00063
V00064,Mahindra,XUV400,SUV,39.0,2024,CU00064
V00065,MG,Comet EV,Car,17.0,2023,CU00065
V00066,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00066
V00067,Mahindra,XUV400,SUV,39.0,2024,CU00067
V00068,Olectra,City Bus,Bus,300.0,2025,CU00068
V00069,BYD,eMAX 7,MPV,71.0,2023,CU00069
V00070,MG,Comet EV,Car,17.0,2025,CU00070
V00071,Hyundai,Kona Electric,SUV,39.0,2025,CU00071
V00072,BYD,eMAX 7,MPV,71.0,2023,CU00072
V00073,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00073
V00074,Kia,EV6,SUV,77.0,2022,CU00074
V00075,Ather,Rizta,Scooter,3.7,2022,CU00075
V00076,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00076
V00077,TVS,iQube,Scooter,3.4,2022,CU00077
V00078,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00078
V00079,MG,Windsor EV,Car,38.0,2023,CU00079
V00080,Tata,Nexon EV,Car,40.0,2024,CU00080
V00081,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00081
V00082,Hyundai,Kona Electric,SUV,39.0,2023,CU00082
V00083,Hyundai,Kona Electric,SUV,39.0,2025,CU00083
V00084,MG,Windsor EV,Car,38.0,2023,CU00084
V00085,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00085
V00086,Tata,Tiago EV,Car,24.0,2023,CU00086
V00087,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00087
V00088,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00088
V00089,Mahindra,XEV 9e,SUV,79.0,2022,CU00089
V00090,Ather,450X,Scooter,4.0,2023,CU00090
V00091,MG,Windsor EV,Car,38.0,2023,CU00091
V00092,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00092
V00093,Tata,Nexon EV,Car,40.0,2025,CU00093
V00094,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00094
V00095,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00095
V00096,Bajaj,Chetak,Scooter,3.2,2024,CU00096
V00097,Kia,EV6,SUV,77.0,2022,CU00097
V00098,Bajaj,Chetak,Scooter,3.2,2022,CU00098
V00099,Ather,Rizta,Scooter,3.7,2023,CU00099
V00100,MG,Comet EV,Car,17.0,2025,CU00100
V00101,BYD,eMAX 7,MPV,71.0,2022,CU00101
V00102,TVS,iQube,Scooter,3.4,2023,CU00102
V00103,Tata,Punch EV,Car,35.0,2024,CU00103
V00104,Hyundai,Kona Electric,SUV,39.0,2025,CU00104
V00105,Mahindra,BE 6,SUV,59.0,2024,CU00105
V00106,Olectra,City Bus,Bus,300.0,2022,CU00106
V00107,Ather,450X,Scooter,4.0,2024,CU00107
V00108,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00108
V00109,Mahindra,BE 6,SUV,59.0,2022,CU00109
V00110,Ather,450X,Scooter,4.0,2024,CU00110
V00111,Mahindra,XUV400,SUV,39.0,2024,CU00111
V00112,Kia,EV9,SUV,99.0,2025,CU00112
V00113,Tata,Curvv EV,SUV,55.0,2024,CU00113
V00114,Hyundai,Kona Electric,SUV,39.0,2025,CU00114
V00115,Ola Electric,S1 Air,Scooter,3.0,2025,CU00115
V00116,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00116
V00117,Hyundai,Kona Electric,SUV,39.0,2023,CU00117
V00118,Kia,EV9,SUV,99.0,2024,CU00118
V00119,MG,ZS EV,SUV,50.0,2025,CU00119
V00120,Mahindra,BE 6,SUV,59.0,2025,CU00120
V00121,BYD,eMAX 7,MPV,71.0,2024,CU00121
V00122,Ola Electric,S1 Air,Scooter,3.0,2022,CU00122
V00123,Ather,450X,Scooter,4.0,2024,CU00123
V00124,MG,Comet EV,Car,17.0,2022,CU00124
V00125,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00125
V00126,Hyundai,Ioniq 5,SUV,72.0,2023,CU00126
V00127,Ather,450X,Scooter,4.0,2022,CU00127
V00128,Ola Electric,S1 Pro,Scooter,4.0,2022,CU00128
V00129,Olectra,City Bus,Bus,300.0,2023,CU00129
V00130,TVS,iQube,Scooter,3.4,2024,CU00130
V00131,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00131
V00132,Bajaj,Chetak,Scooter,3.2,2025,CU00132
V00133,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00133
V00134,TVS,iQube,Scooter,3.4,2023,CU00134
V00135,Mahindra,XEV 9e,SUV,79.0,2023,CU00135
V00136,Mahindra,XEV 9e,SUV,79.0,2022,CU00136
V00137,Bajaj,Chetak,Scooter,3.2,2022,CU00137
V00138,Bajaj,Chetak,Scooter,3.2,2023,CU00138
V00139,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00139
V00140,Tata,Tiago EV,Car,24.0,2024,CU00140
V00141,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00141
V00142,Kia,EV6,SUV,77.0,2025,CU00142
V00143,MG,Comet EV,Car,17.0,2022,CU00143
V00144,BYD,Atto 3,SUV,60.0,2023,CU00144
V00145,Tata,Punch EV,Car,35.0,2023,CU00145
V00146,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00146
V00147,MG,ZS EV,SUV,50.0,2023,CU00147
V00148,TVS,iQube,Scooter,3.4,2022,CU00148
V00149,Hyundai,Kona Electric,SUV,39.0,2023,CU00149
V00150,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00150
V00151,Hyundai,Ioniq 5,SUV,72.0,2024,CU00151
V00152,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00152
V00153,MG,Windsor EV,Car,38.0,2022,CU00153
V00154,Mahindra,XEV 9e,SUV,79.0,2024,CU00154
V00155,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00155
V00156,Ather,Rizta,Scooter,3.7,2022,CU00156
V00157,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00157
V00158,Olectra,City Bus,Bus,300.0,2024,CU00158
V00159,Bajaj,Chetak,Scooter,3.2,2022,CU00159
V00160,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00160
V00161,Kia,EV6,SUV,77.0,2025,CU00161
V00162,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00162
V00163,Tata,Punch EV,Car,35.0,2022,CU00163
V00164,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00164
V00165,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00165
V00166,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00166
V00167,Ola Electric,S1 Air,Scooter,3.0,2025,CU00167
V00168,TVS,iQube,Scooter,3.4,2023,CU00168
V00169,Ola Electric,S1 Air,Scooter,3.0,2024,CU00169
V00170,Olectra,City Bus,Bus,300.0,2024,CU00170
V00171,MG,Comet EV,Car,17.0,2023,CU00171
V00172,Kia,EV9,SUV,99.0,2025,CU00172
V00173,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00173
V00174,Mahindra,BE 6,SUV,59.0,2024,CU00174
V00175,Mahindra,XEV 9e,SUV,79.0,2022,CU00175
V00176,BYD,eMAX 7,MPV,71.0,2023,CU00176
V00177,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00177
V00178,TVS,iQube,Scooter,3.4,2023,CU00178
V00179,Ather,Rizta,Scooter,3.7,2023,CU00179
V00180,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00180
V00181,Tata,Nexon EV,Car,40.0,2024,CU00181
V00182,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00182
V00183,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00183
V00184,Mahindra,BE 6,SUV,59.0,2025,CU00184
V00185,Mahindra,XEV 9e,SUV,79.0,2025,CU00185
V00186,Tata,Curvv EV,SUV,55.0,2023,CU00186
V00187,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00187
V00188,Kia,EV9,SUV,99.0,2025,CU00188
V00189,TVS,iQube,Scooter,3.4,2023,CU00189
V00190,Tata,Tiago EV,Car,24.0,2023,CU00190
V00191,BYD,Seal,Sedan,82.0,2023,CU00191
V00192,Kia,EV9,SUV,99.0,2025,CU00192
V00193,Ather,450X,Scooter,4.0,2025,CU00193
V00194,TVS,iQube,Scooter,3.4,2022,CU00194
V00195,Kia,EV6,SUV,77.0,2023,CU00195
V00196,TVS,iQube,Scooter,3.4,2022,CU00196
V00197,MG,Comet EV,Car,17.0,2023,CU00197
V00198,BYD,Seal,Sedan,82.0,2024,CU00198
V00199,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00199
V00200,Kia,EV6,SUV,77.0,2025,CU00200
V00201,MG,Windsor EV,Car,38.0,2024,CU00201
V00202,Tata,Curvv EV,SUV,55.0,2025,CU00202
V00203,Ather,450X,Scooter,4.0,2024,CU00203
V00204,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00204
V00205,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00205
V00206,Ather,Rizta,Scooter,3.7,2022,CU00206
V00207,Ather,Rizta,Scooter,3.7,2024,CU00207
V00208,Ola Electric,S1 Air,Scooter,3.0,2023,CU00208
V00209,TVS,iQube,Scooter,3.4,2022,CU00209
V00210,MG,ZS EV,SUV,50.0,2024,CU00210
V00211,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00211
V00212,Mahindra,BE 6,SUV,59.0,2023,CU00212
V00213,Bajaj,Chetak,Scooter,3.2,2022,CU00213
V00214,BYD,Atto 3,SUV,60.0,2024,CU00214
V00215,Ather,450X,Scooter,4.0,2024,CU00215
V00216,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00216
V00217,Mahindra,BE 6,SUV,59.0,2022,CU00217
V00218,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00218
V00219,Bajaj,Chetak,Scooter,3.2,2022,CU00219
V00220,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00220
V00221,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00221
V00222,Ola Electric,S1 Air,Scooter,3.0,2023,CU00222
V00223,Mahindra,BE 6,SUV,59.0,2022,CU00223
V00224,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00224
V00225,TVS,iQube,Scooter,3.4,2024,CU00225
V00226,Bajaj,Chetak,Scooter,3.2,2022,CU00226
V00227,Bajaj,Chetak,Scooter,3.2,2025,CU00227
V00228,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00228
V00229,Ola Electric,S1 Pro,Scooter,4.0,2024,CU00229
V00230,Ather,Rizta,Scooter,3.7,2024,CU00230
V00231,Hyundai,Ioniq 5,SUV,72.0,2025,CU00231
V00232,Mahindra,BE 6,SUV,59.0,2022,CU00232
V00233,MG,Comet EV,Car,17.0,2024,CU00233
V00234,Kia,EV6,SUV,77.0,2022,CU00234
V00235,Olectra,City Bus,Bus,300.0,2025,CU00235
V00236,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00236
V00237,Ather,Rizta,Scooter,3.7,2024,CU00237
V00238,Mahindra,BE 6,SUV,59.0,2025,CU00238
V00239,Olectra,City Bus,Bus,300.0,2022,CU00239
V00240,Ather,Rizta,Scooter,3.7,2024,CU00240
V00241,Kia,EV6,SUV,77.0,2023,CU00241
V00242,Hyundai,Ioniq 5,SUV,72.0,2023,CU00242
V00243,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00243
V00244,Mahindra,XEV 9e,SUV,79.0,2022,CU00244
V00245,Ather,Rizta,Scooter,3.7,2023,CU00245
V00246,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00246
V00247,Ola Electric,S1 Air,Scooter,3.0,2024,CU00247
V00248,Hyundai,Kona Electric,SUV,39.0,2024,CU00248
V00249,BYD,Atto 3,SUV,60.0,2023,CU00249
V00250,Tata,Curvv EV,SUV,55.0,2024,CU00250
V00251,Bajaj,Chetak,Scooter,3.2,2023,CU00251
V00252,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00252
V00253,Mahindra,XEV 9e,SUV,79.0,2022,CU00253
V00254,Ather,Rizta,Scooter,3.7,2023,CU00254
V00255,Hyundai,Ioniq 5,SUV,72.0,2025,CU00255
V00256,Ather,Rizta,Scooter,3.7,2024,CU00256
V00257,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00257
V00258,Hyundai,Kona Electric,SUV,39.0,2024,CU00258
V00259,Ather,450X,Scooter,4.0,2022,CU00259
V00260,Tata,Tiago EV,Car,24.0,2024,CU00260
V00261,TVS,iQube,Scooter,3.4,2022,CU00261
V00262,TVS,iQube,Scooter,3.4,2022,CU00262
V00263,Tata,Nexon EV,Car,40.0,2024,CU00263
V00264,TVS,iQube,Scooter,3.4,2023,CU00264
V00265,JBM,ECOLIFE Bus,Bus,300.0,2024,CU00265
V00266,MG,Comet EV,Car,17.0,2023,CU00266
V00267,Olectra,City Bus,Bus,300.0,2025,CU00267
V00268,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00268
V00269,Tata,Tiago EV,Car,24.0,2023,CU00269
V00270,TVS,iQube,Scooter,3.4,2023,CU00270
V00271,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00271
V00272,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00272
V00273,Mahindra,XEV 9e,SUV,79.0,2022,CU00273
V00274,Hyundai,Kona Electric,SUV,39.0,2025,CU00274
V00275,Hyundai,Kona Electric,SUV,39.0,2023,CU00275
V00276,Olectra,City Bus,Bus,300.0,2023,CU00276
V00277,Tata,Curvv EV,SUV,55.0,2022,CU00277
V00278,Hyundai,Kona Electric,SUV,39.0,2023,CU00278
V00279,Olectra,City Bus,Bus,300.0,2023,CU00279
V00280,BYD,Atto 3,SUV,60.0,2022,CU00280
V00281,Bajaj,Chetak,Scooter,3.2,2024,CU00281
V00282,Kia,EV9,SUV,99.0,2024,CU00282
V00283,Mahindra,XUV400,SUV,39.0,2024,CU00283
V00284,Tata,Punch EV,Car,35.0,2023,CU00284
V00285,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00285
V00286,Olectra,City Bus,Bus,300.0,2025,CU00286
V00287,Hero MotoCorp,Vida V1,Scooter,3.9,2023,CU00287
V00288,TVS,iQube,Scooter,3.4,2023,CU00288
V00289,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00289
V00290,TVS,iQube,Scooter,3.4,2024,CU00290
V00291,Ola Electric,S1 Air,Scooter,3.0,2024,CU00291
V00292,Bajaj,Chetak,Scooter,3.2,2024,CU00292
V00293,Bajaj,Chetak,Scooter,3.2,2022,CU00293
V00294,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00294
V00295,Ola Electric,S1 Air,Scooter,3.0,2022,CU00295
V00296,TVS,iQube,Scooter,3.4,2024,CU00296
V00297,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00297
V00298,Bajaj,Chetak,Scooter,3.2,2023,CU00298
V00299,MG,Windsor EV,Car,38.0,2025,CU00299
V00300,Mahindra,XUV400,SUV,39.0,2023,CU00300
V00301,Hyundai,Ioniq 5,SUV,72.0,2025,CU00301
V00302,Olectra,City Bus,Bus,300.0,2022,CU00302
V00303,BYD,eMAX 7,MPV,71.0,2022,CU00303
V00304,Olectra,City Bus,Bus,300.0,2024,CU00304
V00305,Ola Electric,S1 Air,Scooter,3.0,2023,CU00305
V00306,Hyundai,Ioniq 5,SUV,72.0,2024,CU00306
V00307,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00307
V00308,Kia,EV9,SUV,99.0,2022,CU00308
V00309,Hyundai,Ioniq 5,SUV,72.0,2024,CU00309
V00310,Ather,450X,Scooter,4.0,2023,CU00310
V00311,Tata,Nexon EV,Car,40.0,2024,CU00311
V00312,Kia,EV6,SUV,77.0,2023,CU00312
V00313,Bajaj,Chetak,Scooter,3.2,2024,CU00313
V00314,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00314
V00315,BYD,Seal,Sedan,82.0,2024,CU00315
V00316,Bajaj,Chetak,Scooter,3.2,2022,CU00316
V00317,BYD,Seal,Sedan,82.0,2025,CU00317
V00318,MG,ZS EV,SUV,50.0,2024,CU00318
V00319,Hyundai,Kona Electric,SUV,39.0,2022,CU00319
V00320,Tata,Curvv EV,SUV,55.0,2025,CU00320
V00321,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00321
V00322,Ather,Rizta,Scooter,3.7,2025,CU00322
V00323,Tata,Curvv EV,SUV,55.0,2023,CU00323
V00324,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00324
V00325,Kia,EV6,SUV,77.0,2024,CU00325
V00326,Ather,450X,Scooter,4.0,2022,CU00326
V00327,Kia,EV6,SUV,77.0,2022,CU00327
V00328,MG,ZS EV,SUV,50.0,2023,CU00328
V00329,MG,Comet EV,Car,17.0,2022,CU00329
V00330,Kia,EV6,SUV,77.0,2025,CU00330
V00331,Tata,Tiago EV,Car,24.0,2023,CU00331
V00332,Hero MotoCorp,Vida V1,Scooter,3.9,2022,CU00332
V00333,Ola Electric,S1 Air,Scooter,3.0,2022,CU00333
V00334,Olectra,City Bus,Bus,300.0,2024,CU00334
V00335,Hyundai,Ioniq 5,SUV,72.0,2024,CU00335
V00336,Kia,EV9,SUV,99.0,2022,CU00336
V00337,Kia,EV6,SUV,77.0,2024,CU00337
V00338,MG,ZS EV,SUV,50.0,2022,CU00338
V00339,Ola Electric,S1 Air,Scooter,3.0,2025,CU00339
V00340,Kia,EV9,SUV,99.0,2024,CU00340
V00341,Bajaj,Chetak,Scooter,3.2,2023,CU00341
V00342,Kia,EV6,SUV,77.0,2022,CU00342
V00343,Hyundai,Ioniq 5,SUV,72.0,2024,CU00343
V00344,Olectra,City Bus,Bus,300.0,2023,CU00344
V00345,PMI Electro,12m Electric Bus,Bus,250.0,2025,CU00345
V00346,Ola Electric,S1 Air,Scooter,3.0,2023,CU00346
V00347,Bajaj,Chetak,Scooter,3.2,2024,CU00347
V00348,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00348
V00349,TVS,iQube,Scooter,3.4,2022,CU00349
V00350,Ather,Rizta,Scooter,3.7,2024,CU00350
V00351,MG,ZS EV,SUV,50.0,2023,CU00351
V00352,Kia,EV6,SUV,77.0,2025,CU00352
V00353,Mahindra,XEV 9e,SUV,79.0,2025,CU00353
V00354,Ather,Rizta,Scooter,3.7,2023,CU00354
V00355,Ola Electric,S1 Air,Scooter,3.0,2022,CU00355
V00356,Hyundai,Kona Electric,SUV,39.0,2025,CU00356
V00357,Bajaj,Chetak,Scooter,3.2,2023,CU00357
V00358,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00358
V00359,Olectra,City Bus,Bus,300.0,2024,CU00359
V00360,MG,ZS EV,SUV,50.0,2022,CU00360
V00361,Olectra,City Bus,Bus,300.0,2024,CU00361
V00362,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00362
V00363,TVS,iQube,Scooter,3.4,2025,CU00363
V00364,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00364
V00365,MG,Windsor EV,Car,38.0,2024,CU00365
V00366,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00366
V00367,MG,ZS EV,SUV,50.0,2023,CU00367
V00368,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00368
V00369,MG,Windsor EV,Car,38.0,2022,CU00369
V00370,BYD,eMAX 7,MPV,71.0,2025,CU00370
V00371,Hyundai,Ioniq 5,SUV,72.0,2024,CU00371
V00372,JBM,ECOLIFE Bus,Bus,300.0,2023,CU00372
V00373,Hyundai,Kona Electric,SUV,39.0,2024,CU00373
V00374,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00374
V00375,BYD,Seal,Sedan,82.0,2025,CU00375
V00376,MG,Comet EV,Car,17.0,2024,CU00376
V00377,TVS,iQube,Scooter,3.4,2023,CU00377
V00378,Kia,EV6,SUV,77.0,2023,CU00378
V00379,Ola Electric,S1 Pro,Scooter,4.0,2025,CU00379
V00380,Tata,Curvv EV,SUV,55.0,2025,CU00380
V00381,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00381
V00382,BYD,eMAX 7,MPV,71.0,2022,CU00382
V00383,BYD,Seal,Sedan,82.0,2025,CU00383
V00384,Tata,Punch EV,Car,35.0,2023,CU00384
V00385,Hyundai,Kona Electric,SUV,39.0,2022,CU00385
V00386,Ather,Rizta,Scooter,3.7,2022,CU00386
V00387,BYD,Atto 3,SUV,60.0,2025,CU00387
V00388,Bajaj,Chetak,Scooter,3.2,2025,CU00388
V00389,Kia,EV6,SUV,77.0,2024,CU00389
V00390,Olectra,City Bus,Bus,300.0,2023,CU00390
V00391,TVS,iQube,Scooter,3.4,2025,CU00391
V00392,BYD,eMAX 7,MPV,71.0,2024,CU00392
V00393,Olectra,City Bus,Bus,300.0,2022,CU00393
V00394,TVS,iQube,Scooter,3.4,2023,CU00394
V00395,PMI Electro,12m Electric Bus,Bus,250.0,2022,CU00395
V00396,MG,Windsor EV,Car,38.0,2025,CU00396
V00397,Tata,Nexon EV,Car,40.0,2024,CU00397
V00398,JBM,ECOLIFE Bus,Bus,300.0,2025,CU00398
V00399,PMI Electro,12m Electric Bus,Bus,250.0,2023,CU00399
V00400,Olectra,City Bus,Bus,300.0,2025,CU00400
V00401,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00401
V00402,MG,Windsor EV,Car,38.0,2023,CU00402
V00403,Mahindra,XEV 9e,SUV,79.0,2022,CU00403
V00404,Bajaj,Chetak,Scooter,3.2,2022,CU00404
V00405,Bajaj,Chetak,Scooter,3.2,2022,CU00405
V00406,Bajaj,Chetak,Scooter,3.2,2023,CU00406
V00407,Hyundai,Kona Electric,SUV,39.0,2025,CU00407
V00408,Tata,Tiago EV,Car,24.0,2024,CU00408
V00409,Olectra,City Bus,Bus,300.0,2025,CU00409
V00410,Olectra,City Bus,Bus,300.0,2022,CU00410
V00411,BYD,Seal,Sedan,82.0,2022,CU00411
V00412,Hyundai,Kona Electric,SUV,39.0,2024,CU00412
V00413,Olectra,City Bus,Bus,300.0,2024,CU00413
V00414,Tata,Nexon EV,Car,40.0,2025,CU00414
V00415,Bajaj,Chetak,Scooter,3.2,2023,CU00415
V00416,Bajaj,Chetak,Scooter,3.2,2024,CU00416
V00417,Tata,Nexon EV,Car,40.0,2024,CU00417
V00418,JBM,ECOLIFE Bus,Bus,300.0,2022,CU00418
V00419,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00419
V00420,TVS,iQube,Scooter,3.4,2025,CU00420
V00421,TVS,iQube,Scooter,3.4,2022,CU00421
V00422,PMI Electro,12m Electric Bus,Bus,250.0,2024,CU00422
V00423,TVS,iQube,Scooter,3.4,2022,CU00423
V00424,Hyundai,Kona Electric,SUV,39.0,2025,CU00424
V00425,Tata,Curvv EV,SUV,55.0,2024,CU00425
V00426,Hyundai,Kona Electric,SUV,39.0,2023,CU00426
V00427,Hero MotoCorp,Vida V1,Scooter,3.9,2024,CU00427
V00428,Ola Electric,S1 Pro,Scooter,4.0,2023,CU00428
V00429,Bajaj,Chetak,Scooter,3.2,2022,CU00429
V00430,Hero MotoCorp,Vida V1,Scooter,3.9,2025,CU00430
V00431,MG,ZS EV,SUV,50.0,2023,CU00431
V00432,Ola Electric,S1 Air,Scooter,3.0,2022,CU00432
V00433,MG,Comet EV,Car,17.0,2022,CU00433
V00434,Bajaj,Chetak,Scooter,3.2,2025,CU00434
V00435,BYD,Seal,Sedan,82.0,2024,CU00435
V00436,Ather,450X,Scooter,4.0,2023,CU00436
V00437,BYD,Seal,Sedan,82.0,2025,CU00437
