Customer_ID,Gender,Age_Group,Customer_Type,Membership,Membership_Start_Date,Home_City,Vehicle_ID
CU00061,Female,18-25,Regular,Platinum,2025-09-26,Jaipur,V00061
CU00062,Male,18-25,Regular,Silver,2025-06-16,Mumbai,V00062
CU00063,Male,18-25,Regular,None,2025-11-08,Ahmedabad,V00063
CU00064,Female,18-25,New,Gold,2024-12-01,Chennai,V00064
CU00065,Male,26-35,New,Silver,2023-05-17,Jaipur,V00065
CU00066,Female,26-35,Regular,None,2022-10-19,Mumbai,V00066
CU00067,Female,36-45,New,None,2023-11-02,Delhi,V00067
CU00068,Female,18-25,Regular,Platinum,2022-08-18,Ahmedabad,V00068
CU00069,Female,46-60,New,Gold,2024-05-23,Bengaluru,V00069
CU00070,Female,26-35,Regular,Silver,2024-01-18,Ahmedabad,V00070
CU00071,Male,18-25,New,Gold,2023-04-20,Jaipur,V00071
CU00072,Female,46-60,Regular,Gold,2022-01-17,Jaipur,V00072
CU00073,Male,46-60,Regular,None,2024-04-23,Ahmedabad,V00073
CU00074,Female,26-35,Regular,None,2022-11-03,Jaipur,V00074
CU00075,Female,36-45,Regular,Gold,2024-06-23,Lucknow,V00075
CU00076,Male,46-60,Regular,Platinum,2025-10-28,Pune,V00076
CU00077,Female,26-35,Regular,Platinum,2022-04-05,Delhi,V00077
CU00078,Female,46-60,New,Gold,2024-04-25,Mumbai,V00078
CU00079,Female,36-45,Regular,Platinum,2023-02-04,Kolkata,V00079
CU00080,Male,18-25,Regular,None,2022-09-07,Jaipur,V00080
CU00081,Female,26-35,Regular,Gold,2022-04-10,Kolkata,V00081
CU00082,Female,46-60,Regular,Platinum,2024-08-03,Ahmedabad,V00082
CU00083,Male,46-60,Regular,Platinum,2024-02-02,Kolkata,V00083
CU00084,Male,26-35,Regular,Gold,2024-05-26,Chennai,V00084
CU00085,Female,36-45,Regular,Platinum,2025-10-28,Delhi,V00085
CU00086,Female,36-45,New,Platinum,2023-06-24,Kolkata,V00086
CU00087,Female,26-35,New,None,2022-06-16,Chennai,V00087
CU00088,Male,18-25,Regular,Silver,2023-11-14,Hyderabad,V00088
CU00089,Male,36-45,New,Gold,2023-12-20,Lucknow,V00089
CU00090,Male,26-35,New,Platinum,2023-02-22,Hyderabad,V00090
CU00091,Male,46-60,Regular,Gold,2022-06-15,Hyderabad,V00091
CU00092,Female,26-35,Regular,Platinum,2023-05-06,Mumbai,V00092
CU00093,Female,26-35,Regular,Platinum,2025-09-01,Ahmedabad,V00093
CU00094,Female,46-60,New,None,2025-03-23,Bengaluru,V00094
CU00095,Male,36-45,New,Platinum,2023-09-01,Ahmedabad,V00095
CU00096,Male,26-35,New,Silver,2022-11-05,Pune,V00096
CU00097,Male,26-35,Regular,Gold,2024-01-08,Jaipur,V00097
CU00098,Male,18-25,New,Platinum,2022-06-27,Mumbai,V00098
CU00099,Female,18-25,Regular,Gold,2023-03-04,Hyderabad,V00099
CU00100,Female,26-35,New,Platinum,2023-12-26,Chennai,V00100
CU00101,Male,18-25,Regular,Gold,2022-04-01,Delhi,V00101
CU00102,Male,46-60,New,None,2025-05-10,Chennai,V00102
CU00103,Female,46-60,New,Platinum,2023-08-09,Delhi,V00103
CU00104,Female,26-35,Regular,Platinum,2022-05-18,Delhi,V00104
CU00105,Female,18-25,New,Gold,2025-10-08,Bengaluru,V00105
CU00106,Male,36-45,New,Platinum,2022-08-01,Hyderabad,V00106
CU00107,Female,46-60,Regular,Platinum,2022-07-09,Delhi,V00107
CU00108,Female,18-25,Regular,Platinum,2025-04-25,Lucknow,V00108
CU00109,Male,18-25,New,None,2023-09-16,Jaipur,V00109
CU00110,Male,18-25,Regular,None,2023-04-24,Delhi,V00110
CU00111,Female,18-25,New,Silver,2024-04-13,Ahmedabad,V00111
CU00112,Male,26-35,Regular,Platinum,2024-11-11,Jaipur,V00112
CU00113,Female,18-25,New,None,2025-12-22,Hyderabad,V00113
CU00114,Female,26-35,Regular,Silver,2024-09-23,Pune,V00114
CU00115,Female,36-45,Regular,Silver,2023-04-11,Kolkata,V00115
CU00116,Male,46-60,Regular,Platinum,2025-02-14,Bengaluru,V00116
CU00117,Male,46-60,Regular,Silver,2025-02-06,Lucknow,V00117
CU00118,Female,18-25,Regular,None,2022-05-03,Ahmedabad,V00118
CU00119,Male,26-35,New,Gold,2023-05-16,Lucknow,V00119
CU00120,Male,46-60,Regular,None,2022-01-15,Ahmedabad,V00120
CU00121,Male,18-25,New,Gold,2025-05-17,Kolkata,V00121
CU00122,Female,26-35,New,Silver,2024-04-06,Mumbai,V00122
CU00123,Male,18-25,Regular,None,2024-10-05,Kolkata,V00123
CU00124,Female,18-25,Regular,Platinum,2024-04-28,Delhi,V00124
CU00125,Female,46-60,New,Gold,2023-07-24,Hyderabad,V00125
CU00126,Male,18-25,New,None,2025-12-16,Hyderabad,V00126
CU00127,Female,26-35,Regular,Platinum,2024-12-26,Mumbai,V00127
CU00128,Female,46-60,New,Platinum,2024-05-16,Hyderabad,V00128
CU00129,Female,18-25,New,Silver,2024-03-28,Chennai,V00129
CU00130,Female,46-60,Regular,Gold,2024-07-17,Hyderabad,V00130
CU00131,Male,26-35,New,Silver,2024-06-09,Delhi,V00131
CU00132,Male,26-35,New,Platinum,2023-04-15,Ahmedabad,V00132
CU00133,Female,36-45,New,None,2025-10-03,Hyderabad,V00133
CU00134,Male,36-45,Regular,Platinum,2025-06-25,Lucknow,V00134
CU00135,Male,26-35,New,Gold,2024-07-14,Kolkata,V00135
CU00136,Female,26-35,Regular,None,2023-03-22,Lucknow,V00136
CU00137,Female,18-25,Regular,Platinum,2022-11-03,Mumbai,V00137
CU00138,Male,18-25,New,Gold,2025-02-28,Hyderabad,V00138
CU00139,Male,46-60,Regular,Silver,2025-07-11,Ahmedabad,V00139
CU00140,Female,46-60,New,Gold,2022-07-28,Delhi,V00140
CU00141,Male,46-60,New,Silver,2024-10-20,Ahmedabad,V00141
CU00142,Male,46-60,Regular,None,2023-11-25,Chennai,V00142
CU00143,Male,36-45,Regular,Silver,2025-03-22,Mumbai,V00143
CU00144,Male,18-25,Regular,Platinum,2023-02-25,Hyderabad,V00144
CU00145,Male,26-35,Regular,None,2022-02-10,Ahmedabad,V00145
CU00146,Female,18-25,Regular,None,2024-10-08,Lucknow,V00146
CU00147,Male,26-35,Regular,Platinum,2024-07-13,Bengaluru,V00147
CU00148,Male,36-45,New,Silver,2025-08-11,Ahmedabad,V00148
CU00149,Female,26-35,Regular,Silver,2023-01-24,Ahmedabad,V00149
CU00150,Female,36-45,Regular,Silver,2022-09-24,Jaipur,V00150
CU00151,Female,26-35,Regular,Platinum,2023-05-03,Chennai,V00151
CU00152,Male,36-45,New,None,2022-07-19,Hyderabad,V00152
CU00153,Female,26-35,New,Gold,2024-12-07,Hyderabad,V00153
CU00154,Female,18-25,New,Gold,2023-06-14,Lucknow,V00154
CU00155,Male,18-25,Regular,Platinum,2025-05-09,Mumbai,V00155
CU00156,Female,26-35,New,Gold,2023-09-22,Pune,V00156
CU00157,Female,26-35,New,None,2022-09-08,Chennai,V00157
CU00158,Male,46-60,New,Gold,2022-04-21,Hyderabad,V00158
CU00159,Female,46-60,New,Silver,2024-11-08,Jaipur,V00159
CU00160,Female,36-45,Regular,Platinum,2025-10-12,Delhi,V00160
CU00161,Male,46-60,Regular,Platinum,2022-10-07,Chennai,V00161
CU00162,Female,26-35,New,Silver,2022-01-17,Lucknow,V00162
CU00163,Female,46-60,Regular,Silver,2024-06-10,Bengaluru,V00163
CU00164,Male,36-45,New,Platinum,2025-08-22,Jaipur,V00164
CU00165,Male,36-45,Regular,Platinum,2024-01-06,Lucknow,V00165
CU00166,Female,46-60,Regular,Silver,2022-10-22,Chennai,V00166
CU00167,Female,36-45,Regular,Gold,2025-01-23,Kolkata,V00167
CU00168,Male,46-60,Regular,Gold,2022-01-11,Lucknow,V00168
CU00169,Female,36-45,Regular,Gold,2025-07-01,Lucknow,V00169
CU00170,Male,18-25,New,Platinum,2023-06-03,Kolkata,V00170
CU00171,Male,26-35,New,Platinum,2023-02-17,Jaipur,V00171
CU00172,Male,36-45,New,Gold,2022-05-06,Jaipur,V00172
CU00173,Female,26-35,Regular,Gold,2025-09-26,Pune,V00173
CU00174,Female,46-60,Regular,Silver,2025-09-05,Kolkata,V00174
CU00175,Male,26-35,Regular,None,2025-05-02,Ahmedabad,V00175
CU00176,Male,46-60,Regular,Silver,2023-02-19,Chennai,V00176
CU00177,Female,36-45,New,Platinum,2023-01-12,Chennai,V00177
CU00178,Female,26-35,New,Gold,2022-03-28,Bengaluru,V00178
CU00179,Female,36-45,Regular,Silver,2024-04-02,Mumbai,V00179
CU00180,Female,26-35,Regular,Platinum,2025-04-23,Lucknow,V00180
CU00181,Female,46-60,Regular,Silver,2022-09-21,Bengaluru,V00181
CU00182,Male,26-35,New,Platinum,2022-04-22,Chennai,V00182
CU00183,Male,36-45,New,None,2022-02-18,Kolkata,V00183
CU00184,Female,36-45,New,None,2023-11-17,Lucknow,V00184
CU00185,Female,36-45,New,Gold,2025-10-26,Delhi,V00185
CU00186,Male,46-60,New,Silver,2022-09-19,Lucknow,V00186
CU00187,Male,36-45,Regular,Platinum,2024-11-28,Lucknow,V00187
CU00188,Female,36-45,Regular,Platinum,2025-03-19,Bengaluru,V00188
CU00189,Male,18-25,Regular,Gold,2022-07-08,Pune,V00189
CU00190,Female,18-25,New,Silver,2025-07-13,Hyderabad,V00190
CU00191,Female,36-45,New,Silver,2024-06-08,Delhi,V00191
CU00192,Male,26-35,New,Platinum,2024-09-27,Pune,V00192
CU00193,Female,46-60,New,None,2022-03-28,Lucknow,V00193
CU00194,Male,46-60,Regular,Gold,2022-06-19,Chennai,V00194
CU00195,Male,18-25,New,Silver,2025-02-12,Hyderabad,V00195
CU00196,Female,36-45,New,Platinum,2023-10-21,Kolkata,V00196
CU00197,Male,46-60,Regular,Silver,2024-05-03,Jaipur,V00197
CU00198,Female,46-60,New,Silver,2023-11-15,Bengaluru,V00198
CU00199,Female,18-25,Regular,Silver,2025-11-03,Mumbai,V00199
CU00200,Male,36-45,Regular,None,2025-06-16,Hyderabad,V00200
CU00201,Female,46-60,Regular,Silver,2025-09-18,Delhi,V00201
CU00202,Female,36-45,New,None,2024-12-27,Pune,V00202
CU00203,Male,36-45,Regular,None,2024-02-12,Jaipur,V00203
CU00204,Female,26-35,New,Gold,2025-12-08,Lucknow,V00204
CU00205,Female,46-60,Regular,Silver,2022-03-28,Mumbai,V00205
CU00206,Male,36-45,New,None,2025-06-12,Pune,V00206
CU00207,Female,36-45,New,Platinum,2024-11-06,Kolkata,V00207
CU00208,Male,26-35,New,None,2022-11-03,Hyderabad,V00208
CU00209,Male,46-60,Regular,None,2024-11-09,Pune,V00209
CU00210,Male,26-35,New,Gold,2022-07-26,Kolkata,V00210
CU00211,Female,46-60,New,Platinum,2022-02-14,Pune,V00211
CU00212,Male,18-25,New,Gold,2025-05-28,Ahmedabad,V00212
CU00213,Male,36-45,Regular,None,2023-08-08,Bengaluru,V00213
CU00214,Female,18-25,New,Platinum,2025-10-16,Hyderabad,V00214
CU00215,Male,18-25,New,None,2022-10-17,Pune,V00215
CU00216,Female,26-35,Regular,Platinum,2023-10-21,Kolkata,V00216
CU00217,Male,46-60,New,Gold,2024-02-10,Hyderabad,V00217
CU00218,Male,26-35,Regular,Gold,2022-07-23,Kolkata,V00218
CU00219,Female,36-45,New,None,2024-12-17,Mumbai,V00219
CU00220,Female,46-60,New,None,2025-01-17,Delhi,V00220
CU00221,Male,36-45,New,None,2023-01-18,Hyderabad,V00221
CU00222,Female,26-35,New,Silver,2022-05-12,Chennai,V00222
CU00223,Male,36-45,Regular,None,2022-07-16,Chennai,V00223
CU00224,Female,26-35,Regular,None,2023-12-08,Chennai,V00224
CU00225,Male,46-60,New,Silver,2025-05-26,Delhi,V00225
CU00226,Male,46-60,Regular,Gold,2022-10-28,Bengaluru,V00226
CU00227,Female,46-60,New,Silver,2025-09-17,Bengaluru,V00227
CU00228,Female,18-25,New,Gold,2023-08-22,Chennai,V00228
CU00229,Male,46-60,Regular,None,2024-01-11,Lucknow,V00229
CU00230,Female,36-45,New,None,2022-06-26,Bengaluru,V00230
CU00231,Male,18-25,Regular,None,2022-09-27,Ahmedabad,V00231
CU00232,Female,18-25,New,Platinum,2022-07-25,Lucknow,V00232
CU00233,Male,26-35,Regular,Silver,2023-01-20,Bengaluru,V00233
CU00234,Male,36-45,Regular,Silver,2023-12-17,Mumbai,V00234
CU00235,Male,18-25,New,None,2024-08-03,Lucknow,V00235
CU00236,Female,26-35,New,Platinum,2023-05-13,Delhi,V00236
CU00237,Female,46-60,Regular,None,2022-08-07,Jaipur,V00237
CU00238,Female,46-60,Regular,Gold,2022-02-12,Bengaluru,V00238
CU00239,Male,46-60,Regular,Gold,2022-02-26,Chennai,V00239
CU00240,Male,36-45,New,Gold,2024-08-24,Jaipur,V00240
CU00241,Female,36-45,New,Gold,2024-07-26,Mumbai,V00241
CU00242,Male,26-35,New,None,2025-08-28,Ahmedabad,V00242
CU00243,Female,46-60,New,None,2025-11-02,Pune,V00243
CU00244,Female,26-35,Regular,Platinum,2022-09-13,Bengaluru,V00244
CU00245,Female,26-35,Regular,None,2022-01-21,Mumbai,V00245
CU00246,Male,36-45,New,Platinum,2022-05-28,Hyderabad,V00246
CU00247,Female,36-45,New,Platinum,2022-11-26,Jaipur,V00247
CU00248,Male,36-45,Regular,Platinum,2024-02-06,Jaipur,V00248
CU00249,Female,36-45,New,None,2025-02-16,Mumbai,V00249
CU00250,Female,36-45,New,None,2023-03-06,Bengaluru,V00250
CU00251,Male,18-25,New,Gold,2022-12-07,Mumbai,V00251
CU00252,Female,18-25,New,Silver,2022-07-10,Lucknow,V00252
CU00253,Male,46-60,New,Silver,2025-03-17,Kolkata,V00253
CU00254,Male,36-45,Regular,Gold,2025-02-09,Ahmedabad,V00254
CU00255,Male,36-45,New,None,2023-08-01,Lucknow,V00255
CU00256,Male,46-60,New,None,2022-03-03,Mumbai,V00256
CU00257,Female,36-45,New,None,2022-09-01,Hyderabad,V00257
CU00258,Female,36-45,Regular,Gold,2025-10-09,Delhi,V00258
CU00259,Male,36-45,New,Silver,2025-09-03,Delhi,V00259
CU00260,Male,36-45,Regular,None,2023-08-24,Ahmedabad,V00260
CU00261,Male,26-35,New,Silver,2022-07-09,Delhi,V00261
CU00262,Male,46-60,Regular,Gold,2022-01-25,Bengaluru,V00262
CU00263,Male,46-60,New,None,2025-10-23,Hyderabad,V00263
CU00264,Female,18-25,New,None,2022-02-09,Delhi,V00264
CU00265,Male,46-60,New,Gold,2023-06-10,Hyderabad,V00265
CU00266,Male,36-45,Regular,Gold,2024-09-10,Kolkata,V00266
CU00267,Male,18-25,New,Gold,2022-07-14,Chennai,V00267
CU00268,Male,18-25,Regular,Silver,2023-12-13,Pune,V00268
CU00269,Female,46-60,New,Platinum,2024-10-06,Jaipur,V00269
CU00270,Female,36-45,New,None,2022-11-01,Hyderabad,V00270
CU00271,Female,46-60,Regular,Gold,2025-08-14,Ahmedabad,V00271
CU00272,Male,18-25,New,Gold,2024-12-25,Kolkata,V00272
CU00273,Female,26-35,Regular,None,2025-04-20,Lucknow,V00273
CU00274,Male,46-60,New,Gold,2023-06-24,Mumbai,V00274
CU00275,Female,46-60,Regular,Platinum,2022-07-14,Delhi,V00275
CU00276,Male,36-45,New,None,2025-03-06,Kolkata,V00276
CU00277,Female,18-25,Regular,Platinum,2024-12-19,Jaipur,V00277
CU00278,Female,18-25,New,Silver,2023-11-08,Jaipur,V00278
CU00279,Male,18-25,Regular,Silver,2025-11-24,Delhi,V00279
CU00280,Female,46-60,New,None,2023-06-22,Ahmedabad,V00280
CU00281,Female,18-25,New,Gold,2024-01-14,Bengaluru,V00281
CU00282,Female,36-45,Regular,Silver,2025-04-05,Hyderabad,V00282
CU00283,Male,18-25,Regular,Silver,2023-09-28,Jaipur,V00283
CU00284,Male,36-45,New,Gold,2024-06-17,Chennai,V00284
CU00285,Male,46-60,Regular,Platinum,2025-05-04,Jaipur,V00285
CU00286,Male,36-45,New,None,2022-11-13,Chennai,V00286
CU00287,Male,26-35,New,Gold,2024-04-20,Delhi,V00287
CU00288,Male,36-45,New,Silver,2022-07-01,Chennai,V00288
CU00289,Female,36-45,New,Gold,2024-11-27,Bengaluru,V00289
CU00290,Female,18-25,Regular,Silver,2025-09-18,Ahmedabad,V00290
CU00291,Female,18-25,Regular,Silver,2025-05-05,Jaipur,V00291
CU00292,Male,26-35,New,Gold,2023-07-07,Pune,V00292
CU00293,Male,46-60,New,None,2023-04-02,Kolkata,V00293
CU00294,Female,36-45,New,Silver,2024-01-24,Ahmedabad,V00294
CU00295,Male,18-25,Regular,Gold,2025-03-17,Hyderabad,V00295
CU00296,Female,36-45,New,Silver,2025-04-16,Lucknow,V00296
CU00297,Male,18-25,Regular,None,2023-11-09,Jaipur,V00297
CU00298,Male,36-45,New,Gold,2024-05-10,Jaipur,V00298
CU00299,Female,46-60,New,Gold,2022-03-21,Lucknow,V00299
CU00300,Male,46-60,Regular,Platinum,2025-09-07,Chennai,V00300
CU00301,Female,36-45,New,Gold,2023-03-07,Pune,V00301
CU00302,Female,46-60,New,Gold,2023-11-17,Bengaluru,V00302
CU00303,Male,18-25,New,Platinum,2024-07-11,Jaipur,V00303
CU00304,Female,36-45,New,Gold,2022-12-22,Mumbai,V00304
CU00305,Female,18-25,New,Silver,2023-10-21,Hyderabad,V00305
CU00306,Female,18-25,Regular,Silver,2022-12-08,Bengaluru,V00306
CU00307,Female,26-35,Regular,Platinum,2025-10-27,Bengaluru,V00307
CU00308,Male,46-60,New,Silver,2025-01-09,Delhi,V00308
CU00309,Male,26-35,New,Gold,2024-05-22,Pune,V00309
CU00310,Male,36-45,New,Platinum,2022-05-06,Lucknow,V00310
CU00311,Female,26-35,Regular,Gold,2022-05-27,Chennai,V00311
CU00312,Male,46-60,Regular,Gold,2023-07-17,Lucknow,V00312
CU00313,Female,46-60,Regular,Platinum,2022-11-01,Jaipur,V00313
CU00314,Female,36-45,Regular,None,2022-04-21,Mumbai,V00314
CU00315,Female,36-45,Regular,Gold,2024-02-20,Bengaluru,V00315
CU00316,Male,26-35,Regular,Gold,2024-12-18,Bengaluru,V00316
CU00317,Male,46-60,New,None,2022-02-14,Mumbai,V00317
CU00318,Female,46-60,Regular,None,2025-07-07,Chennai,V00318
CU00319,Female,18-25,New,Platinum,2023-07-19,Chennai,V00319
CU00320,Female,36-45,Regular,Gold,2025-10-17,Pune,V00320
CU00321,Male,46-60,Regular,Platinum,2023-04-03,Chennai,V00321
CU00322,Female,36-45,New,Platinum,2023-07-25,Bengaluru,V00322
CU00323,Female,18-25,New,Gold,2022-12-10,Delhi,V00323
CU00324,Female,18-25,Regular,Gold,2022-07-01,Mumbai,V00324
CU00325,Female,18-25,New,Gold,2025-11-25,Pune,V00325
CU00326,Male,26-35,Regular,None,2022-07-16,Kolkata,V00326
CU00327,Male,36-45,Regular,Silver,2024-02-21,Bengaluru,V00327
CU00328,Female,36-45,Regular,Platinum,2025-10-12,Jaipur,V00328
CU00329,Female,36-45,Regular,None,2023-03-01,Hyderabad,V00329
CU00330,Male,18-25,Regular,Platinum,2025-06-12,Kolkata,V00330
CU00331,Female,18-25,Regular,None,2022-03-16,Ahmedabad,V00331
CU00332,Female,26-35,New,Platinum,2022-12-03,Chennai,V00332
CU00333,Male,26-35,Regular,Gold,2022-11-11,Delhi,V00333
CU00334,Male,18-25,Regular,None,2025-08-23,Delhi,V00334
CU00335,Male,36-45,New,Silver,2025-01-28,Chennai,V00335
CU00336,Female,36-45,Regular,Silver,2023-02-08,Bengaluru,V00336
CU00337,Female,18-25,New,Platinum,2022-05-03,Bengaluru,V00337
CU00338,Female,46-60,Regular,Silver,2023-05-16,Kolkata,V00338
CU00339,Female,18-25,New,Silver,2022-03-16,Mumbai,V00339
CU00340,Male,36-45,New,None,2022-11-03,Jaipur,V00340
CU00341,Female,26-35,Regular,Gold,2022-09-03,Lucknow,V00341
CU00342,Female,26-35,Regular,Gold,2024-11-19,Kolkata,V00342
CU00343,Female,18-25,Regular,Platinum,2024-10-16,Hyderabad,V00343
CU00344,Female,36-45,New,Platinum,2023-05-25,Mumbai,V00344
CU00345,Female,26-35,Regular,None,2025-06-28,Bengaluru,V00345
CU00346,Female,46-60,Regular,None,2024-07-14,Jaipur,V00346
CU00347,Female,46-60,New,Silver,2023-01-04,Hyderabad,V00347
CU00348,Female,18-25,New,None,2023-04-18,Jaipur,V00348
CU00349,Female,36-45,New,Silver,2024-05-24,Mumbai,V00349
CU00350,Male,26-35,New,Silver,2023-01-17,Mumbai,V00350
CU00351,Male,36-45,New,Silver,2022-07-18,Pune,V00351
CU00352,Male,46-60,New,Gold,2025-03-03,Lucknow,V00352
CU00353,Female,26-35,New,Silver,2025-10-12,Hyderabad,V00353
CU00354,Male,18-25,New,None,2024-12-04,Kolkata,V00354
CU00355,Female,18-25,Regular,None,2022-04-17,Kolkata,V00355
CU00356,Male,26-35,Regular,Silver,2025-01-04,Ahmedabad,V00356
CU00357,Female,26-35,New,Platinum,2025-01-21,Pune,V00357
CU00358,Male,26-35,Regular,Silver,2024-01-16,Pune,V00358
CU00359,Male,26-35,Regular,Gold,2022-06-24,Mumbai,V00359
CU00360,Female,36-45,New,None,2023-05-26,Kolkata,V00360
CU00361,Female,18-25,Regular,None,2022-09-28,Lucknow,V00361
CU00362,Male,18-25,New,Gold,2023-11-02,Chennai,V00362
CU00363,Female,26-35,New,None,2022-10-21,Bengaluru,V00363
CU00364,Female,36-45,New,Gold,2023-09-18,Hyderabad,V00364
CU00365,Male,26-35,Regular,Platinum,2023-06-06,Mumbai,V00365
CU00366,Male,36-45,New,Gold,2023-06-17,Jaipur,V00366
CU00367,Male,46-60,New,Gold,2024-05-27,Pune,V00367
CU00368,Male,36-45,Regular,Gold,2024-10-13,Delhi,V00368
CU00369,Male,46-60,New,Platinum,2025-03-26,Hyderabad,V00369
CU00370,Female,36-45,Regular,Platinum,2024-03-24,Bengaluru,V00370
CU00371,Male,46-60,Regular,None,2024-06-13,Lucknow,V00371
CU00372,Male,26-35,New,Platinum,2023-06-09,Jaipur,V00372
CU00373,Female,46-60,Regular,Platinum,2022-02-07,Lucknow,V00373
CU00374,Male,26-35,Regular,Gold,2023-01-15,Kolkata,V00374
CU00375,Female,36-45,Regular,Platinum,2022-09-09,Mumbai,V00375
CU00376,Female,46-60,New,Silver,2025-08-13,Hyderabad,V00376
CU00377,Female,46-60,Regular,Platinum,2025-02-10,Hyderabad,V00377
CU00378,Female,18-25,Regular,None,2025-09-26,Kolkata,V00378
CU00379,Male,18-25,Regular,Platinum,2024-05-28,Mumbai,V00379
CU00380,Female,18-25,Regular,None,2024-09-26,Mumbai,V00380
CU00381,Male,46-60,Regular,None,2022-11-19,Ahmedabad,V00381
CU00382,Male,18-25,New,Gold,2023-06-21,Hyderabad,V00382
CU00383,Female,18-25,Regular,Gold,2024-02-08,Chennai,V00383
CU00384,Female,18-25,New,Silver,2024-03-25,Hyderabad,V00384
CU00385,Male,26-35,Regular,None,2022-12-18,Jaipur,V00385
CU00386,Female,18-25,New,Silver,2023-09-07,Bengaluru,V00386
CU00387,Male,36-45,New,Gold,2022-04-19,Kolkata,V00387
CU00388,Female,36-45,New,Silver,2024-06-06,Pune,V00388
